"state","date","cases","deaths","population","pop_density","Start date","End date","newcases","newdeaths","death_rate","month","per100k","newper100k","deathsper100k","newdeathsper100k"
"Alabama",2020-03-13,6,0,4887871,96.50938865,2020-03-18,2020-04-30,NA,NA,0,"03",0.1,NA,0,NA
"Alabama",2020-03-14,12,0,4887871,96.50938865,2020-03-18,2020-04-30,6,0,0,"03",0.2,0.1,0,0
"Alabama",2020-03-15,23,0,4887871,96.50938865,2020-03-18,2020-04-30,11,0,0,"03",0.5,0.2,0,0
"Alabama",2020-03-16,29,0,4887871,96.50938865,2020-03-18,2020-04-30,6,0,0,"03",0.6,0.1,0,0
"Alabama",2020-03-17,39,0,4887871,96.50938865,2020-03-18,2020-04-30,10,0,0,"03",0.8,0.2,0,0
"Alabama",2020-03-18,51,0,4887871,96.50938865,2020-03-18,2020-04-30,12,0,0,"03",1,0.2,0,0
"Alabama",2020-03-19,78,0,4887871,96.50938865,2020-03-18,2020-04-30,27,0,0,"03",1.6,0.6,0,0
"Alabama",2020-03-20,106,0,4887871,96.50938865,2020-03-18,2020-04-30,28,0,0,"03",2.2,0.6,0,0
"Alabama",2020-03-21,131,0,4887871,96.50938865,2020-03-18,2020-04-30,25,0,0,"03",2.7,0.5,0,0
"Alabama",2020-03-22,157,0,4887871,96.50938865,2020-03-18,2020-04-30,26,0,0,"03",3.2,0.5,0,0
"Alabama",2020-03-23,196,0,4887871,96.50938865,2020-03-18,2020-04-30,39,0,0,"03",4,0.8,0,0
"Alabama",2020-03-24,242,0,4887871,96.50938865,2020-03-18,2020-04-30,46,0,0,"03",5,0.9,0,0
"Alabama",2020-03-25,386,1,4887871,96.50938865,2020-03-18,2020-04-30,144,1,0.26,"03",7.9,2.9,0,0
"Alabama",2020-03-26,538,3,4887871,96.50938865,2020-03-18,2020-04-30,152,2,0.56,"03",11,3.1,0.1,0
"Alabama",2020-03-27,639,4,4887871,96.50938865,2020-03-18,2020-04-30,101,1,0.63,"03",13.1,2.1,0.1,0
"Alabama",2020-03-28,720,4,4887871,96.50938865,2020-03-18,2020-04-30,81,0,0.56,"03",14.7,1.7,0.1,0
"Alabama",2020-03-29,830,5,4887871,96.50938865,2020-03-18,2020-04-30,110,1,0.6,"03",17,2.3,0.1,0
