"state","date","cases","deaths","population","pop_density","Start date","End date","newcases","newdeaths","death_rate","month","per100k","newper100k","deathsper100k","newdeathsper100k","policy"
"California",2020-01-25,1,0,39557045,253.9065023,2020-03-19,2020-05-25,0,0,0,"01",0,0,0,0,"loose"
"California",2020-01-26,2,0,39557045,253.9065023,2020-03-19,2020-05-25,1,0,0,"01",0,0,0,0,"loose"
"California",2020-01-27,2,0,39557045,253.9065023,2020-03-19,2020-05-25,0,0,0,"01",0,0,0,0,"loose"
"California",2020-01-28,2,0,39557045,253.9065023,2020-03-19,2020-05-25,0,0,0,"01",0,0,0,0,"loose"
"California",2020-01-29,2,0,39557045,253.9065023,2020-03-19,2020-05-25,0,0,0,"01",0,0,0,0,"loose"
"California",2020-01-30,2,0,39557045,253.9065023,2020-03-19,2020-05-25,0,0,0,"01",0,0,0,0,"loose"
"California",2020-01-31,3,0,39557045,253.9065023,2020-03-19,2020-05-25,1,0,0,"01",0,0,0,0,"loose"
"California",2020-02-01,3,0,39557045,253.9065023,2020-03-19,2020-05-25,0,0,0,"02",0,0,0,0,"loose"
"California",2020-02-02,6,0,39557045,253.9065023,2020-03-19,2020-05-25,3,0,0,"02",0,0,0,0,"loose"
"California",2020-02-03,6,0,39557045,253.9065023,2020-03-19,2020-05-25,0,0,0,"02",0,0,0,0,"loose"
"California",2020-02-04,6,0,39557045,253.9065023,2020-03-19,2020-05-25,0,0,0,"02",0,0,0,0,"loose"
"California",2020-02-05,6,0,39557045,253.9065023,2020-03-19,2020-05-25,0,0,0,"02",0,0,0,0,"loose"
"California",2020-02-06,6,0,39557045,253.9065023,2020-03-19,2020-05-25,0,0,0,"02",0,0,0,0,"loose"
"California",2020-02-07,6,0,39557045,253.9065023,2020-03-19,2020-05-25,0,0,0,"02",0,0,0,0,"loose"
"California",2020-02-08,6,0,39557045,253.9065023,2020-03-19,2020-05-25,0,0,0,"02",0,0,0,0,"loose"
"California",2020-02-09,6,0,39557045,253.9065023,2020-03-19,2020-05-25,0,0,0,"02",0,0,0,0,"loose"
"California",2020-02-10,7,0,39557045,253.9065023,2020-03-19,2020-05-25,1,0,0,"02",0,0,0,0,"loose"
